Area,Postal Code,Region
"Raffles Place, Marina, Cecil, People’s Park",1,Central
"Raffles Place, Marina, Cecil, People’s Park",2,Central
"Raffles Place, Marina, Cecil, People’s Park",3,Central
"Raffles Place, Marina, Cecil, People’s Park",4,Central
"Raffles Place, Marina, Cecil, People’s Park",5,Central
"Raffles Place, Marina, Cecil, People’s Park",6,Central
"Anson, Tanjong Pagar",7,Central
"Anson, Tanjong Pagar",8,Central
"Queenstown, Tiong Bahru",14,Central
"Queenstown, Tiong Bahru",15,Central
"Queenstown, Tiong Bahru",16,Central
"Telok Blangah, Harbourfront",9,Central
"Telok Blangah, Harbourfront",10,Central
"Pasir Panjang, Hong Leong Garden, Clementi New Town",11,West
"Pasir Panjang, Hong Leong Garden, Clementi New Town",12,West
"Pasir Panjang, Hong Leong Garden, Clementi New Town",13,West
"High Street, Beach Road (part)",17,Central
"Middle Road, Golden Mile",18,Central
"Middle Road, Golden Mile",19,Central
Little India,20,Central
Little India,21,Central
"Orchard, Cairnhill, River Valley",22,Central
"Orchard, Cairnhill, River Valley",23,Central
"Ardmore, Bukit Timah, Holland Road, Tanglin",24,Central
"Ardmore, Bukit Timah, Holland Road, Tanglin",25,Central
"Ardmore, Bukit Timah, Holland Road, Tanglin",26,Central
"Ardmore, Bukit Timah, Holland Road, Tanglin",27,Central
"Watten Estate, Novena, Thomson",28,Central
"Watten Estate, Novena, Thomson",29,Central
"Watten Estate, Novena, Thomson",30,Central
"Balestier, Toa Payoh, Serangoon",31,Central
"Balestier, Toa Payoh, Serangoon",32,Central
"Balestier, Toa Payoh, Serangoon",33,Central
"Macpherson, Braddell",34,Central
"Macpherson, Braddell",35,Central
"Macpherson, Braddell",36,Central
"Macpherson, Braddell",37,Central
"Geylang, Eunos",38,Central
"Geylang, Eunos",39,Central
"Geylang, Eunos",40,Central
"Geylang, Eunos",41,Central
"Katong, Joo Chiat, Amber Road",42,East
"Katong, Joo Chiat, Amber Road",43,East
"Katong, Joo Chiat, Amber Road",44,East
"Katong, Joo Chiat, Amber Road",45,East
"Bedok, Upper East Coast, Eastwood, Kew Drive",46,East
"Bedok, Upper East Coast, Eastwood, Kew Drive",47,East
"Bedok, Upper East Coast, Eastwood, Kew Drive",48,East
"Loyang, Changi",49,East
"Loyang, Changi",50,East
"Loyang, Changi",81,East
"Tampines, Pasir Ris",51,East
"Tampines, Pasir Ris",52,East
"Serangoon Garden, Hougang, Sengkang, Punggol",53,North-East
"Serangoon Garden, Hougang, Sengkang, Punggol",54,North-East
"Serangoon Garden, Hougang, Sengkang, Punggol",55,North-East
"Serangoon Garden, Hougang, Sengkang, Punggol",82,North-East
"Bishan, Ang Mo Kio",56,North-East
"Bishan, Ang Mo Kio",57,North-East
"Upper Bukit Timah, Clementi Park, Ulu Pandan",58,Central
"Upper Bukit Timah, Clementi Park, Ulu Pandan",59,Central
Jurong,60,West
Jurong,61,West
Jurong,62,West
Jurong,63,West
Jurong,64,West
"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",65,West
"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",66,West
"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",67,West
"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang",68,West
"Lim Chu Kang, Tengah",69,North
"Lim Chu Kang, Tengah",70,North
"Lim Chu Kang, Tengah",71,North
"Krangi, Woodgrove, Woodlands",72,North
"Krangi, Woodgrove, Woodlands",73,North
"Upper Thomson, Springleaf",77,Central
"Upper Thomson, Springleaf",78,Central
"Yishun, Sembawang",75,North
"Yishun, Sembawang",76,North
Seletar,79,North-East
Seletar,80,North-East
